id_frame;id_face;emotion;posx_ini;posy_ini;posx_end;posy_end;img_path
149;1;fear;0;0;1279;719;C:\Users\kazuo\projetos\ia\FIAP\fase4\tech_challenge_fase4\assets\videos\out/video_frame_emotion_149_1.png
150;1;happy;711;413;837;539;C:\Users\kazuo\projetos\ia\FIAP\fase4\tech_challenge_fase4\assets\videos\out/video_frame_emotion_150_1.png
151;1;fear;0;0;1279;719;C:\Users\kazuo\projetos\ia\FIAP\fase4\tech_challenge_fase4\assets\videos\out/video_frame_emotion_151_1.png
152;1;fear;0;0;1279;719;C:\Users\kazuo\projetos\ia\FIAP\fase4\tech_challenge_fase4\assets\videos\out/video_frame_emotion_152_1.png
153;1;fear;0;0;1279;719;C:\Users\kazuo\projetos\ia\FIAP\fase4\tech_challenge_fase4\assets\videos\out/video_frame_emotion_153_1.png
154;1;sad;740;466;819;545;C:\Users\kazuo\projetos\ia\FIAP\fase4\tech_challenge_fase4\assets\videos\out/video_frame_emotion_154_1.png
155;1;fear;744;476;820;552;C:\Users\kazuo\projetos\ia\FIAP\fase4\tech_challenge_fase4\assets\videos\out/video_frame_emotion_155_1.png
156;1;neutral;0;0;1279;719;C:\Users\kazuo\projetos\ia\FIAP\fase4\tech_challenge_fase4\assets\videos\out/video_frame_emotion_156_1.png
157;1;happy;0;0;1279;719;C:\Users\kazuo\projetos\ia\FIAP\fase4\tech_challenge_fase4\assets\videos\out/video_frame_emotion_157_1.png
158;1;happy;0;0;1279;719;C:\Users\kazuo\projetos\ia\FIAP\fase4\tech_challenge_fase4\assets\videos\out/video_frame_emotion_158_1.png
159;1;happy;0;0;1279;719;C:\Users\kazuo\projetos\ia\FIAP\fase4\tech_challenge_fase4\assets\videos\out/video_frame_emotion_159_1.png
160;1;happy;0;0;1279;719;C:\Users\kazuo\projetos\ia\FIAP\fase4\tech_challenge_fase4\assets\videos\out/video_frame_emotion_160_1.png
161;1;neutral;0;0;1279;719;C:\Users\kazuo\projetos\ia\FIAP\fase4\tech_challenge_fase4\assets\videos\out/video_frame_emotion_161_1.png
162;1;neutral;0;0;1279;719;C:\Users\kazuo\projetos\ia\FIAP\fase4\tech_challenge_fase4\assets\videos\out/video_frame_emotion_162_1.png
163;1;neutral;0;0;1279;719;C:\Users\kazuo\projetos\ia\FIAP\fase4\tech_challenge_fase4\assets\videos\out/video_frame_emotion_163_1.png
164;1;neutral;0;0;1279;719;C:\Users\kazuo\projetos\ia\FIAP\fase4\tech_challenge_fase4\assets\videos\out/video_frame_emotion_164_1.png
165;1;neutral;0;0;1279;719;C:\Users\kazuo\projetos\ia\FIAP\fase4\tech_challenge_fase4\assets\videos\out/video_frame_emotion_165_1.png
166;1;neutral;0;0;1279;719;C:\Users\kazuo\projetos\ia\FIAP\fase4\tech_challenge_fase4\assets\videos\out/video_frame_emotion_166_1.png
